1,Auring,VIII,Leyte,2005,TS,4.00,105.00,1004.90,3.00,1685476.00,258.00,117645.00,39.00,76.00,105.00,75.00,75.00,805.00,88552.00,135829.00,110200.00,12955.00,48.00,1283.00,8392000.00,
2,Auring,VIII,Eastern Samar,2005,TS,4.00,105.00,1004.90,3.00,396519.00,86.00,117645.00,50.00,85.00,107.00,75.00,75.00,805.00,17627.00,25407.00,34700.00,2201.00,9.00,301.00,3610000.00,
3,Auring,VIII,Northern Samar,2005,TS,4.00,105.00,1004.90,3.00,535253.00,145.00,117645.00,54.00,91.00,105.00,75.00,75.00,805.00,11121.00,22595.00,58171.00,8881.00,0.00,0.00,100000.00,
4,Auring,VIII,Biliran,2005,TS,4.00,105.00,1004.90,3.00,147176.00,275.00,117645.00,27.00,84.00,105.00,75.00,75.00,805.00,6851.00,12286.00,9988.00,1171.00,0.00,0.00,2100000.00,
5,Auring,VIII,Southern Leyte,2005,TS,4.00,105.00,1004.90,2.00,381822.00,212.00,117645.00,31.00,75.00,105.00,75.00,75.00,805.00,23697.00,36338.00,16078.00,2072.00,1.00,0.00,6900000.00,
6,Auring,XIII,Surigao del Norte,2005,TS,4.00,105.00,1004.90,1.00,399146.00,204.00,107901.00,51.00,76.00,103.00,83.00,54.00,514.00,14999.00,30912.00,34629.00,4529.00,16.00,0.00,0.00,
7,Auring,VII,Cebu,2005,TS,4.00,105.00,1004.90,3.00,3702592.00,693.00,136066.00,32.00,71.00,102.00,84.00,108.00,1298.00,292438.00,384594.00,81778.00,14572.00,2.00,0.00,0.00,
8,Feria,II,Batanes,2005,TY,5.00,195.00,920.00,3.00,16113.00,79.00,136946.00,17.00,71.00,103.00,85.00,72.00,986.00,200.00,3087.00,227.00,322.00,0.00,0.00,112263000.00,
9,Labuyo,CAR,Apayao,2005,TY,5.00,95.00,998.90,2.00,101732.00,23.00,177694.00,26.00,70.00,107.00,87.00,57.00,549.00,8100.00,8661.00,2709.00,288.00,0.00,138.00,3832000.00,
10,Labuyo,CAR,Abra,2005,TY,5.00,95.00,998.90,2.00,224606.00,53.00,177694.00,26.00,69.00,105.00,87.00,57.00,549.00,13581.00,27483.00,1978.00,239.00,2.00,0.00,1126000.00,
