#,NAME,REGION,PROVINCE,YEAR,TYPE,DURATION,WIND,INTENSITY,SIGNAL, POP,DEN,AI,PR,DR,SR,FLR,HP,HS, HMA, HMB, HMC, HMD,CASULATIES,DAMAGED HOUSES,DAMAGED PROPERTIES
766,Falcon,III,Pampanga,2011,2,5,195,979.9,1,2391911,1159,245658,7,56,101,92,199,1948,33878,392321,13189,8499,0,0,4
767,Falcon,III,Tarlac,2011,2,5,195,979.9,1,1291279,424,245658,17,59,102,92,199,1948,30304,203879,19208,4023,0,0,4
768,Falcon,III,Zambales,2011,2,5,195,979.9,1,768806,202,245658,16,60,101,92,199,1948,16613,126635,14048,2214,0,0,4
367,Frank,IV-A,Batangas,2008,4,6,160,988,3,2288882,735,235161,16,61,101,94,232,2199,57722,391863,16479,4536,0,0,4
368,Frank,IV-A,Cavite,2008,4,6,160,988,3,2932704,1921,235161,3,56,97,94,232,2199,69082,546028,15628,4671,0,0,4
369,Frank,IV-A,Laguna,2008,4,6,160,988,3,2537310,1316,235161,7,56,98,94,232,2199,75603,466911,8110,3976,0,0,4
370,Frank,IV-A,Quezon,2008,4,6,160,988,3,1916989,217,235161,31,71,105,94,232,2199,135212,282292,87723,38028,0,0,4
371,Frank,IV-A,Rizal,2008,4,6,160,988,3,2359137,1995,235161,6,58,100,94,232,2199,78325,399179,13530,4495,0,0,4
1067,Pablo,IV-B,Palawan,2012,4,8,185,943,3,1037052,61,179000,26,72,101,86,67,795,42482,58173,120583,4471,0,0,4
1353,Glenda,IV-B,Marinduque,2014,4,5,150,964.2,3,233167,245,164121,33,70,100,86,21,882,11785,30221,7752,693,0,0,4
1354,Glenda,IV-B,Occidental Mindoro,2014,4,5,150,964.2,3,480322,82,164121,37,70,96,86,21,882,12878,45085,32504,3567,0,0,4
1355,Glenda,IV-B,Oriental Mindoro,2014,4,5,150,964.2,3,832030,196,164121,32,66,98,86,21,882,24923,89257,42921,5772,0,0,4
1357,Glenda,IV-B,Palawan,2014,4,5,150,964.2,3,1081599,64,164121,28,71,95,86,21,882,41492,58779,118495,4617,0,0,4
1356,Glenda,IV-B,Romblon,2014,4,5,150,964.2,3,290989,190,164121,41,72,99,86,21,882,9032,26950,20707,3255,0,0,4
1679,Karen,II,Cagayan,2016,4,5,150,976.2,1,1214812,129,190832,22,60,102,96,81,1130,51455,148930,28439,3997,0,0,4
1680,Karen,II,Isabela,2016,4,5,150,976.2,2,1615204,123,190832,26,58,102,96,81,1130,59403,224179,29838,2497,0,0,4
1681,Karen,II,Nueva Vizcaya,2016,4,5,150,976.2,3,458741,95,190832,18,60,102,96,81,1130,26494,56237,7939,443,0,0,4
1682,Karen,II,Quirino,2016,4,5,150,976.2,3,191531,83,190832,19,61,103,96,81,1130,12998,20576,3632,274,0,0,4
594,Ondoy,II,Cagayan,2009,2,4,110,989.5,2,1107096,118,181000,28,60,103,88,89,1052,51823,153032,27867,3953,0,0,4
596,Ondoy,II,Isabela,2009,2,4,110,989.5,1,1459662,111,181000,29,58,104,88,89,1052,59354,229833,29330,2507,0,0,4
595,Ondoy,II,Nueva Vizcaya,2009,2,4,110,989.5,2,413365,86,181000,13,59,104,88,89,1052,26425,57597,7959,433,0,0,4
593,Ondoy,II,Quirino,2009,2,4,110,989.5,2,172280,74,181000,16,61,106,88,89,1052,13027,21214,3599,233,0,0,4
8,Feria,II,Batanes,2005,4,5,195,920,3,16113,79,136946,17,71,103,85,72,986,200,3087,227,322,0,0,4
842,Mina,CAR,Abra,2011,4,9,195,975.3,1,236005,56,243652,24,62,102,90,57,651,13538,30152,1771,184,0,0,4
843,Mina,CAR,Apayao,2011,4,9,195,975.3,1,113916,25,243652,24,62,104,90,57,651,8569,9927,2563,229,0,0,4
844,Mina,CAR,Benguet,2011,4,9,195,975.3,1,735916,260,243652,24,50,99,90,57,651,13565,175025,1547,1271,0,0,4
847,Mina,CAR,Ifugao,2011,4,9,195,975.3,1,193367,74,243652,24,63,103,90,57,651,16082,16019,4298,166,0,0,4
845,Mina,CAR,Kalinga,2011,4,9,195,975.3,1,203779,62,243652,24,65,103,90,57,651,13445,18002,3652,285,0,0,4
846,Mina,CAR,Mt. Province,2011,4,9,195,975.3,1,154268,65,243652,24,65,103,90,57,651,7330,22227,1141,124,0,0,4
827,Mina,I,Ilocos Norte,2011,4,9,195,975.3,1,572944,168,197814,11,57,101,92,119,1018,11833,97997,5436,1328,0,0,4
828,Mina,I,Ilocos Sur,2011,4,9,195,975.3,1,664689,256,197814,18,57,100,92,119,1018,20808,105986,5175,855,0,0,4
829,Mina,I,La Union,2011,4,9,195,975.3,1,750647,501,197814,22,61,106,92,119,1018,33329,113568,3502,644,0,0,4
830,Mina,I,Pangasinan,2011,4,9,195,975.3,1,2814367,516,197814,21,63,106,92,119,1018,108093,385045,50241,10244,0,0,4
193,Reming,IV-B,Marinduque,2006,4,6,195,964,4,227846,239,108946,41,83,102,83,64,686,11861,27781,8184,777,0,0,4
191,Reming,IV-B,Occidental Mindoro,2006,4,6,195,964,3,415726,71,108946,43,76,109,83,64,686,12408,40170,32056,3595,0,0,4
190,Reming,IV-B,Oriental Mindoro,2006,4,6,195,964,3,727808,172,108946,44,85,105,83,64,686,23307,77776,42983,6350,0,0,4
192,Reming,IV-B,Romblon,2006,4,6,195,964,2,277518,181,108946,46,88,104,83,64,686,7619,23653,22007,3451,0,0,4
1095,Pablo,XIII,Agusan del Norte,2012,4,8,185,943,3,661506,193,180000,35,67,101,91,59,717,38745,38662,42588,3422,0,0,4
1096,Pablo,XIII,Agusan del Sur,2012,4,8,185,943,3,673767,67,180000,48,71,102,91,59,717,40858,22287,57740,1707,0,0,4
1097,Pablo,XIII,Dinagat Islands,2012,4,8,185,943,3,126942,155,180000,42,67,100,91,59,717,8255,7307,8007,589,0,0,4
1098,Pablo,XIII,Surigao del Norte,2012,4,8,185,943,3,459122,235,180000,42,64,100,91,59,717,15514,35475,31688,4235,0,0,4
1099,Pablo,XIII,Surigao del Sur,2012,4,8,185,943,3,573431,116,180000,36,67,101,91,59,717,25425,22678,56730,3700,0,0,4
670,Santi,IV-A,Batangas,2009,4,5,150,961.9,3,2332719,749,249000,17,60,101,94,236,2022,56485,409118,17361,4092,0,0,4
671,Santi,IV-A,Cavite,2009,4,5,150,961.9,3,3010661,1973,249000,3,54,97,94,236,2022,67688,574033,15593,3702,0,0,4
672,Santi,IV-A,Laguna,2009,4,5,150,961.9,3,2602735,1350,249000,8,54,98,94,236,2022,73275,494718,8291,2638,0,0,4
673,Santi,IV-A,Quezon,2009,4,5,150,961.9,3,1951695,221,249000,30,68,104,94,236,2022,110331,267050,84976,16383,0,0,4
674,Santi,IV-A,Rizal,2009,4,5,150,961.9,3,2421173,2047,249000,9,57,100,94,236,2022,75786,422769,15542,3948,0,0,4
1414,Mario,III,Aurora,2014,4,5,105,982,2,211649,68,244331,26,66,97,92,167,1923,11425,22622,7408,585,0,0,4
1415,Mario,III,Bataan,2014,4,5,105,982,2,745418,543,244331,2,54,99,92,167,1923,11541,117531,9252,2892,0,0,4
1416,Mario,III,Bulacan,2014,4,5,105,982,2,3215020,1155,244331,7,52,99,92,167,1923,52872,536706,13916,6569,0,0,4
1417,Mario,III,Nueva Ecija,2014,4,5,105,982,2,2110730,371,244331,27,56,99,92,167,1923,58915,312577,36313,6958,0,0,4
1418,Mario,III,Pampanga,2014,4,5,105,982,2,2553493,1237,244331,7,53,98,92,167,1923,32859,406961,13421,7089,0,0,4
1419,Mario,III,Tarlac,2014,4,5,105,982,2,1346944,442,244331,17,57,98,92,167,1923,30101,212008,18466,3503,0,0,4
1420,Mario,III,Zambales,2014,4,5,105,982,2,809758,212,244331,16,59,97,92,167,1923,16704,130485,14102,2261,0,0,4
429,Julian,III,Bulacan,2008,2,3,75,999,2,2855885,1026,212922,7,59,101,92,197,1795,53710,524935,12970,7399,0,0,4
427,Julian,III,Nueva Ecija,2008,2,3,75,999,2,1880301,330,212922,29,61,103,92,197,1795,59581,305546,36099,7743,0,0,4
430,Julian,III,Pampanga,2008,2,3,75,999,2,2265753,1097,212922,5,60,103,92,197,1795,33251,400275,12751,8054,0,0,4
428,Julian,III,Tarlac,2008,2,3,75,999,2,1253301,411,212922,18,63,104,92,197,1795,30124,208200,18675,3786,0,0,4
887,Pedring,CAR,Abra,2011,4,5,140,976.2,1,236005,56,243652,24,62,102,90,57,651,13538,30152,1771,184,0,0,4
888,Pedring,CAR,Apayao,2011,4,5,140,976.2,1,113916,25,243652,24,62,104,90,57,651,8569,9927,2563,229,0,0,4
889,Pedring,CAR,Benguet,2011,4,5,140,976.2,1,735916,260,243652,24,50,99,90,57,651,13565,175025,1547,1271,0,0,4
890,Pedring,CAR,Ifugao,2011,4,5,140,976.2,1,193367,74,243652,24,63,103,90,57,651,16082,16019,4298,166,0,0,4
891,Pedring,CAR,Kalinga,2011,4,5,140,976.2,1,203779,62,243652,24,65,103,90,57,651,13445,18002,3652,285,0,0,4
892,Pedring,CAR,Mt. Province,2011,4,5,140,976.2,1,154268,65,243652,24,65,103,90,57,651,7330,22227,1141,124,0,0,4
450,Nina,II,Cagayan,2008,4,5,175,983.2,3,1089697,116,167237,28,61,104,86,87,1001,51484,145877,28078,3922,0,0,4
1170,Labuyo,III,Aurora,2013,4,3,175,914,2,208995,67,239665,24,66,99,92,173,1897,11423,22404,7390,581,0,0,4
1171,Labuyo,III,Bulacan,2013,4,3,175,914,2,3139773,1128,239665,7,53,99,92,173,1897,53211,531715,13609,7021,0,0,4
1172,Labuyo,III,Nueva Ecija,2013,4,3,175,914,2,2070770,364,239665,28,56,100,92,173,1897,59168,309621,36281,7373,0,0,4
1173,Labuyo,III,Pampanga,2013,4,3,175,914,2,2498454,1210,239665,7,54,99,92,173,1897,33061,403932,13206,7647,0,0,4
1174,Labuyo,III,Zambales,2013,4,3,175,914,2,795871,209,239665,17,59,98,92,173,1897,16670,129802,13984,2207,0,0,4
1637,Nona,V,Albay,2015,4,7,150,963,3,1314826,511,158941,40,65,98,86,51,1174,27266,142173,56473,18265,0,0,4
1641,Nona,V,Camarines Norte,2015,4,7,150,963,3,583313,256,158941,32,69,96,86,51,1174,11296,52815,37729,9114,0,0,4
1640,Nona,V,Camarines Sur,2015,4,7,150,963,3,1952544,354,158941,43,70,96,86,51,1174,54633,170211,104967,16717,0,0,4
1642,Nona,V,Catanduanes,2015,4,7,150,963,3,260964,175,158941,32,72,95,86,51,1174,9855,24943,10906,1763,0,0,4
1638,Nona,V,Masbate,2015,4,7,150,963,3,892393,216,158941,53,83,96,86,51,1174,28661,45166,81561,7471,0,0,4
1639,Nona,V,Sorsogon,2015,4,7,150,963,3,792949,374,158941,40,69,96,86,51,1174,10834,63678,51670,21409,0,0,4
558,Kiko,III,Bataan,2009,4,7,175,967.6,1,678933,494,221000,2,57,102,92,198,1773,11447,119838,9319,2613,0,0,4
557,Kiko,III,Bulacan,2009,4,7,175,967.6,1,2889956,1038,221000,7,57,100,92,198,1773,52213,549175,14297,5628,0,0,4
560,Kiko,III,Nueva Ecija,2009,4,7,175,967.6,1,1917470,337,221000,30,59,103,92,198,1773,58496,319839,36111,6076,0,0,4
562,Kiko,III,Pampanga,2009,4,7,175,967.6,1,2302752,1115,221000,7,58,102,92,198,1773,32259,415342,13645,5901,0,0,4
561,Kiko,III,Tarlac,2009,4,7,175,967.6,1,1263231,415,221000,18,61,103,92,198,1773,29995,216667,18046,3132,0,0,4
559,Kiko,III,Zambales,2009,4,7,175,967.6,1,743678,195,221000,17,61,103,92,198,1773,16768,132633,14198,2310,0,0,4
390,Frank,VIII,Biliran,2008,4,6,160,988,3,153843,287,147648,36,80,105,73,70,883,7779,14672,9028,1004,0,0,4
391,Frank,VIII,Eastern Samar,2008,4,6,160,988,3,412885,89,147648,55,81,108,73,70,883,20029,30283,33185,1963,0,0,4
392,Frank,VIII,Leyte,2008,4,6,160,988,3,1745613,267,147648,37,73,106,73,70,883,95835,158655,104789,11446,0,0,4
393,Frank,VIII,Northern Samar,2008,4,6,160,988,3,562544,152,147648,53,88,106,73,70,883,13315,28473,56593,8761,0,0,4
394,Frank,VIII,Samar,2008,4,6,160,988,3,707665,117,147648,42,84,108,73,70,883,28733,39110,64369,5380,0,0,4
395,Frank,VIII,Southern Leyte,2008,4,6,160,988,3,393591,218,147648,40,72,106,73,70,883,25213,43684,13719,1792,0,0,4
1268,Yolanda (Haiyan),V,Albay,2013,4,3,235,910,4,1281643,498,156965,39,67,100,87,110,1183,27636,140687,56108,18044,0,0,4
1269,Yolanda (Haiyan),V,Camarines Norte,2013,4,3,235,910,4,566805,249,156965,35,70,100,87,110,1183,11323,52092,37677,8956,0,0,4
1270,Yolanda (Haiyan),V,Camarines Sur,2013,4,3,235,910,4,1899395,345,156965,44,72,99,87,110,1183,54974,168140,104306,16363,0,0,4
1271,Yolanda (Haiyan),V,Catanduanes,2013,4,3,235,910,4,254996,171,156965,31,74,99,87,110,1183,10015,24633,10782,1731,0,0,4
1272,Yolanda (Haiyan),V,Masbate,2013,4,3,235,910,4,868831,210,156965,54,85,99,87,110,1183,28040,43997,81975,7298,0,0,4
1273,Yolanda (Haiyan),V,Sorsogon,2013,4,3,235,910,4,771639,364,156965,40,71,99,87,110,1183,10797,62950,51570,21252,0,0,4
652,Pepeng,V,Albay,2009,4,10,195,978.5,1,1217820,473,152000,37,72,103,81,114,1103,27336,145075,56331,18216,0,0,4
654,Pepeng,V,Camarines Norte,2009,4,10,195,978.5,2,533026,234,152000,42,74,105,81,114,1103,11233,53956,37816,9273,0,0,4
653,Pepeng,V,Camarines Sur,2009,4,10,195,978.5,2,1778472,323,152000,48,76,104,81,114,1103,54677,173772,105342,16905,0,0,4
655,Pepeng,V,Catanduanes,2009,4,10,195,978.5,3,241700,162,152000,29,80,105,81,114,1103,9744,25447,10947,1791,0,0,4
656,Pepeng,V,Masbate,2009,4,10,195,978.5,1,812145,196,152000,56,92,104,81,114,1103,29591,46660,80997,7517,0,0,4
657,Pepeng,V,Sorsogon,2009,4,10,195,978.5,0,730238,345,152000,39,79,104,81,114,1103,10954,65156,51535,21558,0,0,4
872,Pedring,IV-B,Occidental Mindoro,2011,4,5,140,976.2,3,459659,79,165314,37,71,104,86,66,706,12683,43197,32339,3587,0,0,4
873,Pedring,IV-B,Oriental Mindoro,2011,4,5,140,976.2,3,796960,188,165314,31,67,103,86,66,706,24302,84871,42984,6001,0,0,4
875,Pedring,IV-B,Palawan,2011,4,5,140,976.2,3,1015472,60,165314,28,73,105,86,66,706,42396,56954,121374,4440,0,0,4
874,Pedring,IV-B,Romblon,2011,4,5,140,976.2,3,285679,186,165314,41,74,102,86,66,706,8497,25688,21211,3338,0,0,4
1336,Glenda,NCR,Metro Manila,2014,4,5,150,964.2,3,12666191,20445,370275,4,46,101,95,162,470,344593,2139922,41695,20797,0,0,4
289,Kabayan,II,Cagayan,2007,4,5,120,996.8,2,1072571,115,154520,29,63,104,86,84,724,51147,139056,28290,3891,0,0,4
288,Kabayan,II,Isabela,2007,4,5,120,996.8,3,1401495,113,154520,29,62,105,86,84,724,60559,211420,29134,2252,0,0,4
290,Kabayan,II,Nueva Vizcaya,2007,4,5,120,996.8,3,397837,100,154520,14,62,105,86,84,724,27567,52983,7004,453,0,0,4
291,Kabayan,II,Quirino,2007,4,5,120,996.8,3,163610,70,154520,15,64,107,86,84,724,13385,18651,3332,425,0,0,4
312,Lando,II,Cagayan,2007,4,10,130,998.3,2,1072571,115,154520,29,63,104,86,84,724,51147,139056,28290,3891,0,0,4
67,Caloy,V,Albay,2006,4,7,160,981,3,1172927,456,125184,36,77,104,80,123,1115,26955,126543,56990,18368,0,0,4
69,Caloy,V,Camarines Norte,2006,4,7,160,981,2,507389,223,125184,41,79,105,80,123,1115,11616,46546,37271,8194,0,0,4
68,Caloy,V,Camarines Sur,2006,4,7,160,981,2,1672724,303,125184,48,81,105,80,123,1115,54501,150824,102771,15494,0,0,4
70,Caloy,V,Catanduanes,2006,4,7,160,981,3,230188,154,125184,41,87,106,80,123,1115,10422,22190,10628,1600,0,0,4
72,Caloy,V,Masbate,2006,4,7,160,981,2,759871,184,125184,54,100,105,80,123,1115,23365,36420,84473,7097,0,0,4
71,Caloy,V,Sorsogon,2006,4,7,160,981,3,700906,331,125184,41,86,105,80,123,1115,10210,55695,52297,20579,0,0,4
210,Seniang,VI,Aklan,2006,4,6,130,992.8,3,488613,278,129905,42,71,104,82,86,1604,5153,37432,45153,11870,0,0,4
211,Seniang,VI,Antique,2006,4,6,130,992.8,3,508976,186,129905,52,84,105,82,86,1604,25900,38644,36036,3094,0,0,4
209,Seniang,VI,Capiz,2006,4,6,130,992.8,3,694672,268,129905,30,77,104,82,86,1604,52320,51591,34191,2374,0,0,4
212,Seniang,VI,Iloilo,2006,4,6,130,992.8,3,2083107,410,129905,22,61,104,82,86,1604,164316,180774,64552,4532,0,0,4
1169,Labuyo,II,Batanes,2013,4,3,175,914,2,16986,84,187942,23,63,97,97,71,1135,192,3457,187,282,0,0,4
1166,Labuyo,II,Isabela,2013,4,3,175,914,2,1551155,118,187942,27,55,99,97,71,1135,59630,222491,29610,2448,0,0,4
1167,Labuyo,II,Nueva Vizcaya,2013,4,3,175,914,2,439651,91,187942,17,58,99,97,71,1135,26701,55793,7750,443,0,0,4
1168,Labuyo,II,Quirino,2013,4,3,175,914,2,184011,79,187942,18,58,99,97,71,1135,13082,20284,3565,296,0,0,4
131,Milenyo,NCR,Metro Manila,2006,4,5,130,963.9,3,11302020,18243,310860,5,50,96,94,222,20,360364,1944143,60504,42014,0,0,4
1370,Glenda,VIII,Biliran,2014,4,5,150,964.2,3,169595,316,163735,32,72,98,74,42,865,7990,15032,8806,992,0,0,4
1365,Glenda,VIII,Eastern Samar,2014,4,5,150,964.2,3,459239,99,163735,61,70,96,74,42,865,20479,31193,32739,1978,0,0,4
1366,Glenda,VIII,Leyte,2014,4,5,150,964.2,3,1929889,295,163735,38,66,96,74,42,865,97041,162200,104440,11248,0,0,4
1368,Glenda,VIII,Northern Samar,2014,4,5,150,964.2,3,623458,169,163735,51,76,97,74,42,865,14001,29585,56350,8564,0,0,4
1369,Glenda,VIII,Samar,2014,4,5,150,964.2,3,770824,127,163735,47,72,96,74,42,865,29857,40328,63973,5309,0,0,4
1367,Glenda,VIII,Southern Leyte,2014,4,5,150,964.2,3,417127,232,163735,43,63,98,74,42,865,24831,45190,13705,1844,0,0,4
1113,Quinta,VI,Aklan,2012,2,2,75,994,2,551035,313,202000,25,60,100,84,89,1790,6226,42697,45841,11768,0,0,4
1114,Quinta,VI,Capiz,2012,2,2,75,994,2,736083,284,202000,28,59,101,84,89,1790,54057,58838,33129,2139,0,0,4
1116,Quinta,VI,Guimaras,2012,2,2,75,994,2,167514,274,202000,25,58,101,84,89,1790,11261,14288,7180,344,0,0,4
1112,Quinta,VI,Iloilo,2012,2,2,75,994,2,2290648,451,202000,26,61,101,84,89,1790,168072,199943,64659,4216,0,0,4
1115,Quinta,VI,Negros Occidental,2012,2,2,75,994,2,2967451,371,202000,32,63,101,84,89,1790,189426,267424,123001,8881,0,0,4
1671,Ferdie,II,Batanes,2016,4,4,220,995.7,4,17377,86,190832,27,67,100,96,81,1130,186,3476,187,281,0,0,4
1672,Ferdie,II,Cagayan,2016,4,4,220,995.7,1,1214812,129,190832,22,60,102,96,81,1130,51455,148930,28439,3997,0,0,4
1693,Karen,V,Albay,2016,4,5,150,976.2,0,1331738,517,159028,40,71,102,86,103,1169,27254,141689,56497,18273,0,0,5
1694,Karen,V,Camarines Norte,2016,4,5,150,976.2,2,591746,260,159028,32,73,103,86,103,1169,11307,52625,37714,9087,0,0,5
1695,Karen,V,Camarines Sur,2016,4,5,150,976.2,1,1979674,359,159028,43,75,102,86,103,1169,54626,169617,104904,16685,0,0,5
1696,Karen,V,Catanduanes,2016,4,5,150,976.2,0,264000,177,159028,32,79,103,86,103,1169,9874,24859,10899,1759,0,0,5
1697,Karen,V,Sorsogon,2016,4,5,150,976.2,0,803824,379,159028,40,77,102,86,103,1169,10814,63432,51692,21384,0,0,5
100,Florita,CAR,Abra,2006,4,5,120,982.8,1,227757,54,192126,26,69,105,88,57,564,13547,28798,1787,215,0,0,5
102,Florita,CAR,Apayao,2006,4,5,120,982.8,2,102678,23,192126,26,69,108,88,57,564,8327,9229,2495,258,0,0,5
98,Florita,CAR,Benguet,2006,4,5,120,982.8,1,660485,234,192126,26,55,97,88,57,564,15271,180703,1712,1789,0,0,5
103,Florita,CAR,Ifugao,2006,4,5,120,982.8,1,177940,68,192126,26,69,108,88,57,564,15833,14433,4455,196,0,0,5
101,Florita,CAR,Kalinga,2006,4,5,120,982.8,1,181116,55,192126,26,74,105,88,57,564,13749,16054,3622,330,0,0,5
99,Florita,CAR,Mt. Province,2006,4,5,120,982.8,1,147486,62,192126,26,77,106,88,57,564,7279,20943,1176,173,0,0,5
851,Pedring,I,Ilocos Norte,2011,4,5,140,976.2,0,572944,168,197814,11,57,101,92,119,1018,11833,97997,5436,1328,0,0,5
852,Pedring,I,Ilocos Sur,2011,4,5,140,976.2,3,664689,256,197814,18,57,100,92,119,1018,20808,105986,5175,855,0,0,5
853,Pedring,I,La Union,2011,4,5,140,976.2,3,750647,501,197814,22,61,106,92,119,1018,33329,113568,3502,644,0,0,5
854,Pedring,I,Pangasinan,2011,4,5,140,976.2,3,2814367,516,197814,21,63,106,92,119,1018,108093,385045,50241,10244,0,0,5
372,Frank,IV-B,Marinduque,2008,4,6,160,988,3,229032,240,129385,36,80,102,84,63,689,11994,29838,7743,686,0,0,5
373,Frank,IV-B,Occidental Mindoro,2008,4,6,160,988,3,432048,74,129385,38,75,108,84,63,689,13027,44240,32329,3481,0,0,5
374,Frank,IV-B,Oriental Mindoro,2008,4,6,160,988,3,752018,177,129385,38,79,105,84,63,689,24628,86901,42487,5828,0,0,5
375,Frank,IV-B,Palawan,2008,4,6,160,988,2,925342,54,129385,32,84,109,84,63,689,43429,59373,121320,4356,0,0,5
376,Frank,IV-B,Romblon,2008,4,6,160,988,3,281153,183,129385,43,84,104,84,63,689,8636,26305,20933,3229,0,0,5
784,Juaning,II,Cagayan,2011,3,4,95,994.4,1,1139302,121,190217,22,58,102,93,92,1158,50869,141840,29329,4062,0,0,5
781,Juaning,II,Isabela,2011,3,4,95,994.4,1,1509872,115,190217,26,56,102,93,92,1158,59519,214517,30612,2465,0,0,5
782,Juaning,II,Nueva Vizcaya,2011,3,4,95,994.4,1,427367,89,190217,18,58,102,93,92,1158,26631,53903,7844,459,0,0,5
783,Juaning,II,Quirino,2011,3,4,95,994.4,1,179162,77,190217,19,59,103,93,92,1158,12965,19425,3670,323,0,0,5
1609,Lando,CAR,Abra,2015,4,8,185,943,3,241160,57,245161,23,62,96,91,23,677,13531,31049,1759,163,0,0,5
1610,Lando,CAR,Apayao,2015,4,8,185,943,2,119184,26,245161,23,58,92,91,23,677,8730,10391,2610,209,0,0,5
1611,Lando,CAR,Benguet,2015,4,8,185,943,3,791590,280,245161,23,51,93,91,23,677,12410,170589,1433,942,0,0,5
1612,Lando,CAR,Ifugao,2015,4,8,185,943,3,202802,77,245161,23,61,94,91,23,677,16238,17089,4185,144,0,0,5
1613,Lando,CAR,Kalinga,2015,4,8,185,943,3,212680,65,245161,23,63,93,91,23,677,13232,19329,3671,255,0,0,5
1614,Lando,CAR,Mt. Province,2015,4,8,185,943,3,154590,65,245161,23,62,94,91,23,677,7361,23099,1115,85,0,0,5
859,Pedring,II,Batanes,2011,4,5,140,976.2,3,16730,82,190217,25,66,100,93,92,1158,195,3374,196,291,0,0,5
855,Pedring,II,Cagayan,2011,4,5,140,976.2,3,1139302,121,190217,22,58,102,93,92,1158,50869,141840,29329,4062,0,0,5
856,Pedring,II,Isabela,2011,4,5,140,976.2,3,1509872,115,190217,26,56,102,93,92,1158,59519,214517,30612,2465,0,0,5
857,Pedring,II,Nueva Vizcaya,2011,4,5,140,976.2,3,427367,89,190217,18,58,102,93,92,1158,26631,53903,7844,459,0,0,5
858,Pedring,II,Quirino,2011,4,5,140,976.2,3,179162,77,190217,19,59,103,93,92,1158,12965,19425,3670,323,0,0,5
475,Dante,V,Albay,2009,4,5,140,991.8,1,1217820,473,152000,37,72,103,81,114,1103,27336,145075,56331,18216,0,0,5
476,Dante,V,Camarines Norte,2009,4,5,140,991.8,1,533026,234,152000,42,74,105,81,114,1103,11233,53956,37816,9273,0,0,5
477,Dante,V,Camarines Sur,2009,4,5,140,991.8,2,1778472,323,152000,48,76,104,81,114,1103,54677,173772,105342,16905,0,0,5
478,Dante,V,Catanduanes,2009,4,5,140,991.8,2,241700,162,152000,29,80,105,81,114,1103,9744,25447,10947,1791,0,0,5
480,Dante,V,Masbate,2009,4,5,140,991.8,1,812145,196,152000,56,92,104,81,114,1103,29591,46660,80997,7517,0,0,5
479,Dante,V,Sorsogon,2009,4,5,140,991.8,2,730238,345,152000,39,79,104,81,114,1103,10954,65156,51535,21558,0,0,5
1519,Amang,V,Albay,2015,3,6,100,984,2,1314826,511,158941,40,65,98,86,51,1174,27266,142173,56473,18265,0,0,5
1521,Amang,V,Camarines Norte,2015,3,6,100,984,2,583313,256,158941,32,69,96,86,51,1174,11296,52815,37729,9114,0,0,5
1520,Amang,V,Camarines Sur,2015,3,6,100,984,2,1952544,354,158941,43,70,96,86,51,1174,54633,170211,104967,16717,0,0,5
1524,Amang,V,Catanduanes,2015,3,6,100,984,2,260964,175,158941,32,72,95,86,51,1174,9855,24943,10906,1763,0,0,5
1523,Amang,V,Masbate,2015,3,6,100,984,2,892393,216,158941,53,83,96,86,51,1174,28661,45166,81561,7471,0,0,5
1522,Amang,V,Sorsogon,2015,3,6,100,984,2,792949,374,158941,40,69,96,86,51,1174,10834,63678,51670,21409,0,0,5
439,Karen,II,Batanes,2008,4,5,140,988.7,3,16181,80,167237,15,71,102,86,87,1001,200,3434,187,284,0,0,5
436,Karen,II,Cagayan,2008,4,5,140,988.7,3,1089697,116,167237,28,61,104,86,87,1001,51484,145877,28078,3922,0,0,5
438,Karen,II,Isabela,2008,4,5,140,988.7,3,1430283,109,167237,29,60,105,86,87,1001,59953,220435,29232,2376,0,0,5
437,Karen,II,Nueva Vizcaya,2008,4,5,140,988.7,2,405527,84,167237,14,61,105,86,87,1001,26990,55242,7466,443,0,0,5
440,Karen,II,Quirino,2008,4,5,140,988.7,2,167889,72,167237,15,62,107,86,87,1001,13205,19891,3463,314,0,0,5
1616,Nona,I,Pangasinan,2015,4,7,150,963,1,2956726,542,198464,21,61,98,93,86,2242,108480,402146,49306,9171,0,0,5
171,Paeng,II,Cagayan,2006,4,5,195,981.7,4,1060913,113,142770,30,65,104,85,91,939,49903,130350,30721,4165,0,0,5
168,Paeng,II,Isabela,2006,4,5,195,981.7,4,1384623,106,142770,30,63,105,85,91,939,59679,198816,31811,2416,0,0,5
169,Paeng,II,Nueva Vizcaya,2006,4,5,195,981.7,3,393272,82,142770,15,63,105,85,91,939,26825,50123,7695,484,0,0,5
170,Paeng,II,Quirino,2006,4,5,195,981.7,3,161372,70,142770,15,65,107,85,91,939,12897,17586,3724,405,0,0,5
1636,Nona,IV-B,Marinduque,2015,4,7,150,963,3,234521,246,166983,33,70,99,86,23,832,11751,30285,7753,694,0,0,5
1635,Nona,IV-B,Occidental Mindoro,2015,4,7,150,963,3,487414,83,166983,37,69,93,86,23,832,12853,45225,32534,3582,0,0,5
1634,Nona,IV-B,Oriental Mindoro,2015,4,7,150,963,3,844059,199,166983,31,65,97,86,23,832,24973,89650,42993,5762,0,0,5
1633,Nona,IV-B,Palawan,2015,4,7,150,963,1,1104585,65,166983,28,70,92,86,23,832,41169,58680,118024,4660,0,0,5
