#,NAME,REGION,PROVINCE,YEAR,TYPE,DURATION,WIND,INTENSITY,SIGNAL,POP,DEN,AI,PR,DR,SR,FLR,HP,HS,HMA,HMB,HMC,HMD,CASUALTIES,DAMAGED HOUSES,DAMAGED PROPERTIES
718,Juan,CAR,Kalinga,2010,4,6,225,988.7,3,201613,61,230997,24,65,106,90,57,639,12683,21564,3848,215,1,0,0
719,Juan,CAR,Mt. Province,2010,4,6,225,988.7,4,154187,65,230997,24,66,106,90,57,639,7321,24485,1121,47,1,0,0
1198,Maring,IV-A,Batangas,2013,2,4,105,982,1,2562781,823,266244,18,56,100,95,212,2568,57420,396423,16919,4441,1,0,0
1199,Maring,IV-A,Cavite,2013,2,4,105,982,1,3430920,2248,266244,3,51,99,95,212,2568,68394,552896,15684,4503,1,0,0
1200,Maring,IV-A,Laguna,2013,2,4,105,982,1,2883346,1495,266244,7,51,99,95,212,2568,74704,475363,8230,3832,1,0,0
1201,Maring,IV-A,Quezon,2013,2,4,105,982,1,2067430,234,266244,29,64,99,95,212,2568,127172,273750,86807,39586,1,0,0
1202,Maring,IV-A,Rizal,2013,2,4,105,982,1,2717297,2298,266244,7,53,100,95,212,2568,77389,405765,14441,4374,1,0,0
306,Lando,VII,Bohol,2007,4,10,130,998.3,2,1230110,255,156468,47,76,103,86,107,1479,75428,124536,38086,3143,1,0,0
305,Lando,VII,Cebu,2007,4,10,130,998.3,2,3850989,721,156468,29,70,103,86,107,1479,299600,423362,73015,10752,1,0,0
307,Lando,VII,Negros Oriental,2007,4,10,130,998.3,2,1231904,227,156468,39,70,104,86,107,1479,71702,80420,93789,10488,1,0,0
1722,Lawin,CAR,Abra,2016,5,4,225,970.1,5,242466,58,245538,23,65,102,91,52,662,13532,30977,1760,165,1,0,0
1723,Lawin,CAR,Apayao,2016,5,4,225,970.1,5,120539,27,245538,23,64,103,91,52,662,8717,10355,2608,211,1,0,0
1724,Lawin,CAR,Benguet,2016,5,4,225,970.1,3,806155,285,245538,23,52,97,91,52,662,12521,170967,1443,984,1,0,0
1725,Lawin,CAR,Ifugao,2016,5,4,225,970.1,4,205232,78,245538,23,65,103,91,52,662,16224,17010,4195,146,1,0,0
1726,Lawin,CAR,Kalinga,2016,5,4,225,970.1,5,214965,65,245538,23,68,102,91,52,662,13249,19236,3671,258,1,0,0
1727,Lawin,CAR,Mt. Province,2016,5,4,225,970.1,4,154671,65,245538,23,69,103,91,52,662,7358,23033,1118,89,1,0,0
981,Gener,VI,Aklan,2012,4,5,130,972,3,551035,313,202000,25,60,100,84,89,1790,6226,42697,45841,11768,1,0,0
982,Gener,VI,Antique,2012,4,5,130,972,3,560148,205,202000,31,66,100,84,89,1790,28540,42784,34394,3108,1,0,0
985,Gener,VI,Capiz,2012,4,5,130,972,3,736083,284,202000,28,59,101,84,89,1790,54057,58838,33129,2139,1,0,0
983,Gener,VI,Iloilo,2012,4,5,130,972,3,2290648,451,202000,26,61,101,84,89,1790,168072,199943,64659,4216,1,0,0
984,Gener,VI,Negros Occidental,2012,4,5,130,972,3,2967451,371,202000,32,63,101,84,89,1790,189426,267424,123001,8881,1,0,0
1452,Ruby,IV-A,Batangas,2014,4,8,215,927,3,2627735,844,270555,18,55,99,95,211,2011,57159,399938,17132,4343,1,0,0
1453,Ruby,IV-A,Cavite,2014,4,8,215,927,3,3552458,2328,270555,3,50,100,95,211,2011,68042,558481,15687,4271,1,0,0
1454,Ruby,IV-A,Laguna,2014,4,8,215,927,3,2958241,1534,270555,7,50,100,95,211,2011,74153,481146,8279,3472,1,0,0
1455,Ruby,IV-A,Quezon,2014,4,8,215,927,3,2094947,237,270555,28,63,98,95,211,2011,120750,269641,86182,31473,1,0,0
1456,Ruby,IV-A,Rizal,2014,4,8,215,927,3,2799518,2367,270555,7,53,100,95,211,2011,76796,410575,14884,4250,1,0,0
488,Emong,II,Batanes,2009,4,4,150,997.5,2,16391,81,181000,14,69,101,88,89,1052,179,3537,181,274,1,0,0
487,Emong,II,Cagayan,2009,4,4,150,997.5,2,1107096,118,181000,28,60,103,88,89,1052,51823,153032,27867,3953,1,0,0
485,Emong,II,Isabela,2009,4,4,150,997.5,2,1459662,111,181000,29,58,104,88,89,1052,59354,229833,29330,2507,1,0,0
486,Emong,II,Quirino,2009,4,4,150,997.5,2,172280,74,181000,16,61,106,88,89,1052,13027,21214,3599,233,1,0,0
989,Gener,IX,Zamboanga del Norte,2012,4,5,130,972,3,979009,134,162000,54,68,101,86,65,711,52150,42180,91571,3877,1,0,0
990,Gener,IX,Zamboanga del Sur,2012,4,5,130,972,3,1808343,307,162000,32,66,101,86,65,711,134645,103459,102193,4065,1,0,0
1036,Ofel,IV-B,Marinduque,2012,1,4,85,991,2,230482,242,179000,33,71,101,86,67,795,11854,29717,7822,705,1,0,0
1038,Ofel,IV-B,Occidental Mindoro,2012,1,4,85,991,2,466446,80,179000,38,71,101,86,67,795,12839,44054,32383,3549,1,0,0
1037,Ofel,IV-B,Oriental Mindoro,2012,1,4,85,991,2,808483,191,179000,29,67,101,86,67,795,24578,86762,42817,5885,1,0,0
1040,Ofel,IV-B,Palawan,2012,1,4,85,991,2,1037052,61,179000,26,72,101,86,67,795,42482,58173,120583,4471,1,0,0
1039,Ofel,IV-B,Romblon,2012,1,4,85,991,2,287438,187,179000,41,73,101,86,67,795,8701,26240,20987,3281,1,0,0
641,Pepeng,III,Aurora,2009,4,10,195,978.5,2,196653,63,221000,18,71,106,92,198,1773,11498,23204,7377,581,1,0,0
646,Pepeng,III,Bataan,2009,4,10,195,978.5,1,678933,494,221000,2,57,102,92,198,1773,11447,119838,9319,2613,1,0,0
642,Pepeng,III,Bulacan,2009,4,10,195,978.5,1,2889956,1038,221000,7,57,100,92,198,1773,52213,549175,14297,5628,1,0,0
645,Pepeng,III,Nueva Ecija,2009,4,10,195,978.5,2,1917470,337,221000,30,59,103,92,198,1773,58496,319839,36111,6076,1,0,0
643,Pepeng,III,Pampanga,2009,4,10,195,978.5,1,2302752,1115,221000,7,58,102,92,198,1773,32259,415342,13645,5901,1,0,0
647,Pepeng,III,Tarlac,2009,4,10,195,978.5,1,1263231,415,221000,18,61,103,92,198,1773,29995,216667,18046,3132,1,0,0
644,Pepeng,III,Zambales,2009,4,10,195,978.5,1,743678,195,221000,17,61,103,92,198,1773,16768,132633,14198,2310,1,0,0
547,Jolina,VI,Antique,2009,2,4,75,991.5,1,535577,196,159000,44,73,105,83,86,1732,30111,45141,33311,3171,1,0,0
549,Jolina,VI,Guimaras,2009,2,4,75,991.5,0,158944,260,159000,21,61,106,83,86,1732,11541,15159,7166,315,1,0,0
546,Jolina,VI,Iloilo,2009,2,4,75,991.5,1,2189591,431,159000,27,61,103,83,86,1732,169734,210941,65147,4141,1,0,0
548,Jolina,VI,Negros Occidental,2009,2,4,75,991.5,1,2895105,362,159000,30,64,105,83,86,1732,190616,282616,122567,8905,1,0,0
851,Pedring,I,Ilocos Norte,2011,4,5,140,976.2,0,572944,168,197814,11,57,101,92,119,1018,11833,97997,5436,1328,1,0,0
852,Pedring,I,Ilocos Sur,2011,4,5,140,976.2,3,664689,256,197814,18,57,100,92,119,1018,20808,105986,5175,855,1,0,0
853,Pedring,I,La Union,2011,4,5,140,976.2,3,750647,501,197814,22,61,106,92,119,1018,33329,113568,3502,644,1,0,0
854,Pedring,I,Pangasinan,2011,4,5,140,976.2,3,2814367,516,197814,21,63,106,92,119,1018,108093,385045,50241,10244,1,0,0
1588,Lando,II,Batanes,2015,4,8,185,943,1,17246,85,190709,27,60,95,96,59,1132,185,3485,186,280,1,0,0
1589,Lando,II,Cagayan,2015,4,8,185,943,2,1199320,128,190709,22,56,97,96,59,1132,51508,149516,28357,3991,1,0,0
1590,Lando,II,Isabela,2015,4,8,185,943,4,1593566,122,190709,26,55,96,96,59,1132,59396,224987,29766,2498,1,0,0
1591,Lando,II,Nueva Vizcaya,2015,4,8,185,943,3,452287,94,190709,18,58,95,96,59,1132,26484,56432,7942,441,1,0,0
1592,Lando,II,Quirino,2015,4,8,185,943,3,188991,81,190709,19,58,94,96,59,1132,13002,20667,3628,268,1,0,0
1462,Ruby,V,Albay,2014,4,8,215,927,3,1298128,504,158206,39,66,99,86,54,1164,27397,141787,56338,18184,1,0,0
1463,Ruby,V,Camarines Norte,2014,4,8,215,927,3,575000,252,158206,33,69,98,86,54,1164,11302,52613,37715,9065,1,0,0
1464,Ruby,V,Camarines Sur,2014,4,8,215,927,3,1925786,349,158206,44,71,98,86,54,1164,54754,169648,104753,16599,1,0,0
1465,Ruby,V,Catanduanes,2014,4,8,215,927,3,257963,173,158206,32,73,97,86,54,1164,9905,24857,10864,1753,1,0,0
1466,Ruby,V,Masbate,2014,4,8,215,927,3,880533,213,158206,53,84,98,86,54,1164,28482,44815,81677,7411,1,0,0
1467,Ruby,V,Sorsogon,2014,4,8,215,927,3,782221,369,158206,40,70,98,86,54,1164,10827,63491,51628,21361,1,0,0
54,Caloy,I,Ilocos Norte,2006,4,7,160,981,1,542437,159,142358,18,60,102,90,123,978,12295,93790,5508,1373,1,0,0
53,Caloy,I,Ilocos Sur,2006,4,7,160,981,1,627424,242,142358,21,63,102,90,123,978,21094,101012,5132,962,1,0,0
55,Caloy,I,La Union,2006,4,7,160,981,1,711611,475,142358,26,62,102,90,123,978,33977,107636,3501,811,1,0,0
56,Caloy,I,Pangasinan,2006,4,7,160,981,1,2614120,480,142358,29,68,103,90,123,978,107522,359753,51613,11848,1,0,0
85,Caloy,NCR,Metro Manila,2006,4,7,160,981,1,11302020,18243,310860,5,50,96,94,222,20,360364,1944143,60504,42014,1,0,0
74,Caloy,VI,Aklan,2006,4,7,160,981,1,488613,278,129905,42,71,104,82,86,1604,5153,37432,45153,11870,1,0,0
75,Caloy,VI,Antique,2006,4,7,160,981,1,508976,186,129905,52,84,105,82,86,1604,25900,38644,36036,3094,1,0,0
73,Caloy,VI,Capiz,2006,4,7,160,981,1,694672,268,129905,30,77,104,82,86,1604,52320,51591,34191,2374,1,0,0
76,Caloy,VI,Guimaras,2006,4,7,160,981,1,149799,245,129905,25,64,107,82,86,1604,10665,12767,7296,398,1,0,0
78,Caloy,VI,Iloilo,2006,4,7,160,981,1,2083107,410,129905,22,61,104,82,86,1604,164316,180774,64552,4532,1,0,0
77,Caloy,VI,Negros Occidental,2006,4,7,160,981,1,2824219,353,129905,28,65,106,82,86,1604,186709,240559,123986,9181,1,0,0
94,Florita,III,Bataan,2006,4,5,120,982.8,0,646104,471,197640,1,59,102,90,201,1866,11895,107030,9107,3862,1,0,0
91,Florita,III,Bulacan,2006,4,5,120,982.8,0,2729554,981,197640,7,61,101,90,201,1866,55401,480989,12471,9622,1,0,0
92,Florita,III,Pampanga,2006,4,5,120,982.8,0,2176175,1054,197640,3,61,103,90,201,1866,35472,368864,12695,10905,1,0,0
90,Florita,III,Tarlac,2006,4,5,120,982.8,0,1216849,399,197640,18,65,104,90,201,1866,30611,190834,20346,4869,1,0,0
93,Florita,III,Zambales,2006,4,5,120,982.8,0,706341,185,197640,24,64,104,90,201,1866,16458,120534,13883,2102,1,0,0
130,Inday,CAR,Kalinga,2006,2,5,65,989.7,1,181116,55,192126,26,74,105,88,57,564,13749,16054,3622,330,1,0,0
164,Milenyo,CAR,Kalinga,2006,4,5,130,963.9,1,181116,55,192126,26,74,105,88,57,564,13749,16054,3622,330,1,0,0
356,Cosme,CAR,Benguet,2008,2,7,105,993.7,3,690145,244,209648,25,52,98,89,55,599,13748,183430,1470,1147,1,0,0
357,Cosme,CAR,Mt. Province,2008,2,7,105,993.7,3,150481,63,209648,25,73,106,89,55,599,7439,22537,1083,85,1,0,0
425,Julian,I,Ilocos Sur,2008,2,3,75,999,1,641510,247,170138,19,61,102,91,121,992,20628,107927,4856,804,1,0,0
424,Julian,I,La Union,2008,2,3,75,999,1,727884,485,170138,28,62,104,91,121,992,33249,115992,3326,602,1,0,0
423,Julian,I,Pangasinan,2008,2,3,75,999,1,2689479,493,170138,24,66,105,91,121,992,108279,391882,49138,10042,1,0,0
439,Karen,II,Batanes,2008,4,5,140,988.7,3,16181,80,167237,15,71,102,86,87,1001,200,3434,187,284,1,0,0
436,Karen,II,Cagayan,2008,4,5,140,988.7,3,1089697,116,167237,28,61,104,86,87,1001,51484,145877,28078,3922,1,0,0
438,Karen,II,Isabela,2008,4,5,140,988.7,3,1430283,109,167237,29,60,105,86,87,1001,59953,220435,29232,2376,1,0,0
437,Karen,II,Nueva Vizcaya,2008,4,5,140,988.7,2,405527,84,167237,14,61,105,86,87,1001,26990,55242,7466,443,1,0,0
440,Karen,II,Quirino,2008,4,5,140,988.7,2,167889,72,167237,15,62,107,86,87,1001,13205,19891,3463,314,1,0,0
827,Mina,I,Ilocos Norte,2011,4,9,195,975.3,1,572944,168,197814,11,57,101,92,119,1018,11833,97997,5436,1328,1,0,0
828,Mina,I,Ilocos Sur,2011,4,9,195,975.3,1,664689,256,197814,18,57,100,92,119,1018,20808,105986,5175,855,1,0,0
829,Mina,I,La Union,2011,4,9,195,975.3,1,750647,501,197814,22,61,106,92,119,1018,33329,113568,3502,644,1,0,0
830,Mina,I,Pangasinan,2011,4,9,195,975.3,1,2814367,516,197814,21,63,106,92,119,1018,108093,385045,50241,10244,1,0,0
859,Pedring,II,Batanes,2011,4,5,140,976.2,3,16730,82,190217,25,66,100,93,92,1158,195,3374,196,291,1,0,0
855,Pedring,II,Cagayan,2011,4,5,140,976.2,3,1139302,121,190217,22,58,102,93,92,1158,50869,141840,29329,4062,1,0,0
856,Pedring,II,Isabela,2011,4,5,140,976.2,3,1509872,115,190217,26,56,102,93,92,1158,59519,214517,30612,2465,1,0,0
857,Pedring,II,Nueva Vizcaya,2011,4,5,140,976.2,3,427367,89,190217,18,58,102,93,92,1158,26631,53903,7844,459,1,0,0
858,Pedring,II,Quirino,2011,4,5,140,976.2,3,179162,77,190217,19,59,103,93,92,1158,12965,19425,3670,323,1,0,0
974,Gener,IV-B,Occidental Mindoro,2012,4,5,130,972,3,466446,80,179000,38,71,101,86,67,795,12839,44054,32383,3549,1,0,0
975,Gener,IV-B,Oriental Mindoro,2012,4,5,130,972,3,808483,191,179000,29,67,101,86,67,795,24578,86762,42817,5885,1,0,0
977,Gener,IV-B,Palawan,2012,4,5,130,972,3,1037052,61,179000,26,72,101,86,67,795,42482,58173,120583,4471,1,0,0
976,Gener,IV-B,Romblon,2012,4,5,130,972,3,287438,187,179000,41,73,101,86,67,795,8701,26240,20987,3281,1,0,0
1155,Gorio,IV-A,Quezon,2013,2,4,85,991,2,2067430,234,266244,29,64,99,95,212,2568,127172,273750,86807,39586,1,0,0
1163,Isang,I,Ilocos Sur,2013,2,2,75,997,1,677063,261,194908,18,56,99,93,81,1217,20634,108537,5062,796,1,0,0
1305,Agaton,IX,Zamboanga del Norte,2014,1,4,55,1000,1,1000481,137,155103,59,68,97,86,41,612,53141,43584,92403,3922,1,0,0
1439,Queenie,VII,Bohol,2014,2,3,85,997,1,1301660,273,199404,39,67,98,87,53,1779,74268,133441,39054,3191,1,0,0
1440,Queenie,VII,Cebu,2014,2,3,85,997,1,4535374,849,199404,24,62,98,87,53,1779,297909,472786,75293,8925,1,0,0
1441,Queenie,VII,Negros Oriental,2014,2,3,85,997,1,1341045,247,199404,43,62,98,87,53,1779,74502,88507,95673,10036,1,0,0
1554,Ineng,I,Ilocos Norte,2015,4,6,180,964,3,593081,173,198464,11,55,99,93,86,2242,11518,100820,5383,1297,1,0,0
1555,Ineng,I,Ilocos Sur,2015,4,6,180,964,1,689668,266,198464,18,56,98,93,86,2242,20615,109317,5196,781,1,0,0
1556,Ineng,I,La Union,2015,4,6,180,964,1,786653,525,198464,21,54,98,93,86,2242,32888,117529,3499,534,1,0,0
1557,Ineng,I,Pangasinan,2015,4,6,180,964,1,2956726,542,198464,21,61,98,93,86,2242,108480,402146,49306,9171,1,0,0
1637,Nona,V,Albay,2015,4,7,150,963,3,1314826,511,158941,40,65,98,86,51,1174,27266,142173,56473,18265,1,0,0
1641,Nona,V,Camarines Norte,2015,4,7,150,963,3,583313,256,158941,32,69,96,86,51,1174,11296,52815,37729,9114,1,0,0
1640,Nona,V,Camarines Sur,2015,4,7,150,963,3,1952544,354,158941,43,70,96,86,51,1174,54633,170211,104967,16717,1,0,0
1642,Nona,V,Catanduanes,2015,4,7,150,963,3,260964,175,158941,32,72,95,86,51,1174,9855,24943,10906,1763,1,0,0
1638,Nona,V,Masbate,2015,4,7,150,963,3,892393,216,158941,53,83,96,86,51,1174,28661,45166,81561,7471,1,0,0
1639,Nona,V,Sorsogon,2015,4,7,150,963,3,792949,374,158941,40,69,96,86,51,1174,10834,63678,51670,21409,1,0,0
442,Karen,CAR,Abra,2008,4,5,140,988.7,2,232206,55,209648,25,67,105,89,55,599,13521,30820,1680,171,1,0,0
444,Karen,CAR,Apayao,2008,4,5,140,988.7,3,106551,24,209648,25,67,108,89,55,599,8683,10213,2455,214,1,0,0
441,Karen,CAR,Benguet,2008,4,5,140,988.7,2,690145,244,209648,25,52,98,89,55,599,13748,183430,1470,1147,1,0,0
443,Karen,CAR,Kalinga,2008,4,5,140,988.7,2,188541,57,209648,25,70,105,89,55,599,13600,18348,3503,265,1,0,0
445,Karen,CAR,Mt. Province,2008,4,5,140,988.7,2,150481,63,209648,25,73,106,89,55,599,7439,22537,1083,85,1,0,0
1739,Nina,IV-A,Batangas,2016,4,5,185,986.6,1,2762623,887,273489,18,59,100,95,231,2150,57162,399978,17221,4348,1,0,0
1740,Nina,IV-A,Cavite,2016,4,5,185,986.6,1,3808602,2495,273489,3,54,98,95,231,2150,67899,558310,15715,4288,1,0,0
1741,Nina,IV-A,Laguna,2016,4,5,185,986.6,1,3113917,1615,273489,7,53,99,95,231,2150,74018,481651,8310,3513,1,0,0
1742,Nina,IV-A,Quezon,2016,4,5,185,986.6,1,2151084,244,273489,28,68,102,95,231,2150,119674,267613,86083,32713,1,0,0
1743,Nina,IV-A,Rizal,2016,4,5,185,986.6,1,2971499,2513,273489,7,56,100,95,231,2150,76666,410759,15038,4252,1,0,0
178,Paeng,CAR,Apayao,2006,4,5,195,981.7,3,102678,23,192126,26,69,108,88,57,564,8327,9229,2495,258,1,0,0
179,Paeng,CAR,Benguet,2006,4,5,195,981.7,3,660485,234,192126,26,55,97,88,57,564,15271,180703,1712,1789,1,0,0
180,Paeng,CAR,Ifugao,2006,4,5,195,981.7,3,177940,68,192126,26,69,108,88,57,564,15833,14433,4455,196,1,0,0
177,Paeng,CAR,Kalinga,2006,4,5,195,981.7,3,181116,55,192126,26,74,105,88,57,564,13749,16054,3622,330,1,0,0
837,Mina,III,Bulacan,2011,4,9,195,975.3,1,2994520,1076,245658,7,54,100,92,199,1948,53814,515412,13414,7696,1,0,0
834,Mina,III,Nueva Ecija,2011,4,9,195,975.3,0,1993106,350,245658,27,57,102,92,199,1948,59465,300228,36811,8050,1,0,0
835,Mina,III,Tarlac,2011,4,9,195,975.3,1,1291279,424,245658,17,59,102,92,199,1948,30304,203879,19208,4023,1,0,0
836,Mina,III,Zambales,2011,4,9,195,975.3,1,768806,202,245658,16,60,101,92,199,1948,16613,126635,14048,2214,1,0,0
896,Quiel,II,Cagayan,2011,4,5,160,974.4,1,1139302,121,190217,22,58,102,93,92,1158,50869,141840,29329,4062,1,0,0
897,Quiel,II,Isabela,2011,4,5,160,974.4,1,1509872,115,190217,26,56,102,93,92,1158,59519,214517,30612,2465,1,0,0
898,Quiel,II,Nueva Vizcaya,2011,4,5,160,974.4,1,427367,89,190217,18,58,102,93,92,1158,26631,53903,7844,459,1,0,0
899,Quiel,II,Quirino,2011,4,5,160,974.4,1,179162,77,190217,19,59,103,93,92,1158,12965,19425,3670,323,1,0,0
1268,Yolanda (Haiyan),V,Albay,2013,4,3,235,910,4,1281643,498,156965,39,67,100,87,110,1183,27636,140687,56108,18044,1,0,0
1269,Yolanda (Haiyan),V,Camarines Norte,2013,4,3,235,910,4,566805,249,156965,35,70,100,87,110,1183,11323,52092,37677,8956,1,0,0
1270,Yolanda (Haiyan),V,Camarines Sur,2013,4,3,235,910,4,1899395,345,156965,44,72,99,87,110,1183,54974,168140,104306,16363,1,0,0
1271,Yolanda (Haiyan),V,Catanduanes,2013,4,3,235,910,4,254996,171,156965,31,74,99,87,110,1183,10015,24633,10782,1731,1,0,0
1272,Yolanda (Haiyan),V,Masbate,2013,4,3,235,910,4,868831,210,156965,54,85,99,87,110,1183,28040,43997,81975,7298,1,0,0
1273,Yolanda (Haiyan),V,Sorsogon,2013,4,3,235,910,4,771639,364,156965,40,71,99,87,110,1183,10797,62950,51570,21252,1,0,0
893,Quiel,I,Ilocos Sur,2011,4,5,160,974.4,1,664689,256,197814,18,57,100,92,119,1018,20808,105986,5175,855,1,0,0
894,Quiel,I,La Union,2011,4,5,160,974.4,1,750647,501,197814,22,61,106,92,119,1018,33329,113568,3502,644,1,0,0
895,Quiel,I,Pangasinan,2011,4,5,160,974.4,1,2814367,516,197814,21,63,106,92,119,1018,108093,385045,50241,10244,1,0,0
1033,Ofel,IV-A,Batangas,2012,1,4,85,991,2,2499433,802,284000,19,56,100,95,242,2166,57792,391011,16845,4570,1,0,0
1035,Ofel,IV-A,Laguna,2012,1,4,85,991,2,2810347,1457,284000,6,51,99,95,242,2166,75062,467557,8246,4164,1,0,0
